order_id,payment_sequential,payment_type,payment_installments,payment_value,origen,seller_id,seller_zip_code_prefix,seller_city,seller_state,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,review_sentiment,order_item_id,product_id,shipping_limit_date,price,freight_value,price_normalized,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,ï»¿product_category_name,product_category_name_english,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
bb03daf7fc738a6fce908d083fd0f4aa,1.0,credit_card,6.0,308.16,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae732f4ea355fcf53ca3064153c276e6,1.0,boleto,1.0,51.0,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8026c598dd1215d12c3c326458788d7d,1.0,boleto,1.0,76.62,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8d4e1a57a139526d78c7713a4eed523,1.0,boleto,1.0,58.28,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b6f54b1e447bf7916396c36596c4e9e,1.0,credit_card,1.0,114.35,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44e91d629da568d5df404a8dc5895336,1.0,credit_card,8.0,157.22,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062e5ab5d16890def5883cd9fe35615e,1.0,boleto,1.0,158.52,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ca97ee9ac987bf566133bbde9f82593,1.0,credit_card,2.0,160.47,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e19dd6039c472289bc42c1f39c693dd4,1.0,credit_card,2.0,193.45,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39ff1e358efa92ceae42de6d5f9d37cf,1.0,credit_card,10.0,170.95,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c7f30a5aa9213081d9b5fd15877ebf9,1.0,credit_card,3.0,295.71,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb08dd566174dbeebc7a8657b0c1aeb7,1.0,credit_card,1.0,137.6,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35326cf9d55498696560de9c17be2511,1.0,boleto,1.0,37.37,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c478c10c15e4728df3923eafb5856e0,1.0,credit_card,1.0,310.44,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd7cebcffafb9a184b1aeec5b2197c3d,1.0,credit_card,2.0,98.73,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b27933c6a46e3d66203137ad1fdb678,2.0,credit_card,2.0,105.26,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9327c73b786466a6815c3d5a7785bbe0,4.0,voucher,1.0,8.88,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738f5dc0019111cfef2d7ba48c2c6368,1.0,credit_card,1.0,180.4,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2398303669883856391bb4ecd9a5db0a,1.0,boleto,1.0,77.97,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9211ad9b7860612a689053307f1de3e7,1.0,boleto,1.0,75.25,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797d09101d970843eb1cb6e491b4da0b,1.0,credit_card,8.0,402.1,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e58d507c1730fdc2137d1fd497049a68,1.0,boleto,1.0,52.38,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9a82a82b91f0f1cb3703a5b6fb3c505,1.0,credit_card,1.0,28.95,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688f9f7bf06856abf4f9bd73e57cb5a4,1.0,boleto,1.0,163.79,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a130e5571bc83bee3bbf7524d83b831,1.0,credit_card,1.0,23.6,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0b7fa0a374f7d9ed01d813a0aa67f71,1.0,credit_card,2.0,35.78,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e669f037ffe4a64a1bd28bc8d9c97d34,1.0,credit_card,3.0,99.9,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86da41fac2d3f448976995f9b78c335f,1.0,credit_card,6.0,62.56,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ea229e7822f0d2d84b4b59b5f8df0de,1.0,credit_card,5.0,65.09,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6521b1807385a964cc81a47662bd6ca2,1.0,credit_card,1.0,53.71,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55314fbf301db20ce06d233511d4fdbd,1.0,credit_card,1.0,293.12,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6172afce91cfea665433203359f6d1e7,1.0,boleto,1.0,74.51,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d51efabbf910d08f6cd53443acfb25e,1.0,boleto,1.0,52.0,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51a73c564f9cc803ec067dd3a0381997,1.0,credit_card,1.0,34.28,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a8d5579f5323798786ef799344781b0,1.0,boleto,1.0,88.18,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47420d7f7e141ae9974351d8a438f759,1.0,credit_card,4.0,65.0,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22fd6b3ad5e66520608b3eb76b19becf,1.0,boleto,1.0,53.83,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee2fac75aa66d8457b22c46fd08a47f3,1.0,credit_card,2.0,69.16,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b6f2bb4fdd0cd8b7b28696a70e0acc2,1.0,credit_card,1.0,38.01,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d57972b73a27f652ccf86430761823d9,1.0,credit_card,4.0,82.9,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70b7e94ea46d3e8b5bc12a50186edaf0,1.0,credit_card,24.0,274.84,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cebe614a9a5e9acd39e3cecceb95d3bd,1.0,credit_card,1.0,64.17,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6c7b7abbea636930355172ccc20e3ee5,2.0,credit_card,2.0,23.48,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9deb96b0101b346adab6ec2418c56e7c,1.0,debit_card,1.0,130.01,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21a6a3d0477ec6bada948436fd516e84,1.0,voucher,1.0,237.53,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52e0ef964835e225bef5565b7cb87f0c,1.0,credit_card,4.0,168.2,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f8c0aad507bf7d1561641f3208cb43b,1.0,credit_card,1.0,37.68,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f845696f97dbd80eb0bc519f70127a7,1.0,credit_card,1.0,4.38,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40aa89b7cd7a1c649a752f6539c4a57b,2.0,voucher,1.0,6.24,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c54e182c8f67aed244820428d9ca9085,1.0,credit_card,1.0,99.9,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e6fa90618070716da24cbf8fa5261fa,1.0,credit_card,1.0,130.57,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f2d341a759b59c051aa9fcbaf2dcba1,1.0,credit_card,1.0,67.77,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c513e47b1ec7f0c630776aff9e942ec9,1.0,credit_card,2.0,245.35,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689338a5ff7fc20c596ee2695dfac8c3,1.0,credit_card,6.0,63.27,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f50ea351cdf971144474e5a4aef9dd4,1.0,credit_card,3.0,38.01,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408c34813cf30f96dc67726e1b5e78e2,1.0,credit_card,1.0,180.77,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57296b29ab9533184d540f468810b8a3,1.0,credit_card,4.0,99.15,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7dcb67f9ced1540f42924057d11b0d6b,1.0,credit_card,2.0,65.69,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438ea5e54a8fb9065a737494893ac31f,1.0,credit_card,2.0,29.39,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb87489b5804dbc8293320a24aac0f,1.0,credit_card,8.0,133.25,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05e8a1fd3d354369a3de6e7230a3651f,1.0,credit_card,1.0,43.18,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38d28e168501494c0edb4ee41f64d296,1.0,credit_card,1.0,93.06,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56c52d234b22892f3821750d97e57052,1.0,credit_card,1.0,36.34,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed8e14b139eb5a477f7e330eff821103,1.0,boleto,1.0,87.76,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b51a2309bc5f73a379b1cd00ba5ad01,1.0,credit_card,10.0,264.64,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,f5f1f2c5f923f36ad79ea1d07185ddc9,19820.0,taruma,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,f12ff17ad8bbf01ec5c33b17e506649b,3186.0,sao paulo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,b494891378bd8f4560abe576c52deacd,4160.0,sao paulo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,78c99c6dff4eeae5be99bf635ed21e3f,17510.0,marilia,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,51ed72984a04e5dd35c2b27e77179038,15050.0,sao jose do rio preto,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,63b9ae557efed31d1f7687917d248a8d,13720.0,sao jose do rio pardo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,eb5b6204dde3a6e03b5f1bb8479f055b,6900.0,embu guacu,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,1e47defeeadeca0e9a18fa5a9311e735,15800.0,catanduva,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,640e21a7d01df7614a3b4923e990d40c,14940.0,ibitinga,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,139157dd4daa45c25b0807ffff348363,3064.0,sao paulo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,ca7c6bd577e559472af1c699de9e764e,9812.0,sao bernardo do campo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,18a349e75d307f4b4cc646a691ed4216,1319.0,sao paulo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,79ee721b6f766066a80264402548d359,17011.0,bauru,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,e0487761face83d64fcada2408959a36,1021.0,sao paulo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,bc503e244f187939d10c92a5c8e378ce,16200.0,birigui,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,6c77cd583b36a13aacccf2b3ee23e233,17505.0,marilia,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,344223b2a90784f64136a8a5da012e7f,89117.0,gaspar,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,b8555308bfdb4ca1ed54325a58da9a97,9751.0,sao bernardo do campo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,e5a38146df062edaf55c38afa99e42dc,1233.0,sao paulo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,bc39d8938f90a3a2b98193723ed59774,7791.0,cajamar,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,c286ec035ee04ba81c97508f0b5df544,81320.0,curitiba,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,bb7a14e229b1c95156719c3d9552eeee,23095.0,rio de janeiro,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,845e8036c3f7bf62099352f5ed910240,21041.0,rio de janeiro,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,544863df86ed3b78a04e0820d41430ee,29166.0,serra,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,099095b050cfe8eb1ddff5317587e96e,3322.0,sao paulo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,f1c1ac3f3efc07e659c035008e615e66,2119.0,sao paulo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,9140bd1d9de28b197dce077bdd687438,13900.0,amparo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,20a7efa9721046319bdde5d60b6b5365,88790.0,laguna,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,2aa3443d7bf9d9bb11133f420d75e083,22713.0,rio de janeiro,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,48328ec9a579151d9cc6a86d4a59336c,92310.0,canoas,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,3ab971ce71839580d2ae5b4e40fe8044,3210.0,sao paulo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,fcb5ace8bcc92f75707dc0f01a27d269,7032.0,guarulhos,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,d97df38225e5abadaff1e72cb72b823c,9560.0,sao caetano do sul,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,4e922959ae960d389249c378d1c939f5,12327.0,jacarei,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,669ae81880e08f269a64487cfb287169,89160.0,rio do sul,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,60ad151920c4f6f3ebbe8cfdf6166779,6322.0,carapicuiba,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,9c3a1c416c765687bc79a04113269929,35547.0,carmo da mata,MG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,058cb5aeb36d7c0fcae20fc85d5e0a59,21635.0,rio de janeiro,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,c60b801f2d52c7f7f91de00870882a75,7174.0,guarulhos,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,e83c76265fc54bf41eac728805e4da77,16074.0,aracatuba,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,74a9b9bddf14ece02beb81f52c41a88d,1156.0,sao paulo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset,4324dd16853115efb0fd9d0d131ba6f4,13720.0,sao jose do rio pardo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
